,burst_allowance,drop_prob,current_qdelay,qdelay_old,accu_prob,measurement_start,tot_pkts,tot_bytes,length,len_bytes,drops,ecn,action,reward
85,0.0,-0.840283768167785,-3.4375,0.2291666666666666,0.2481513156920888,0.6203657522859518,0.2428595944985167,0.3065408811811441,0.2899022801302932,0.3284035895619317,0.1017699115044247,0.0,0.057961434655946276,-0.3125
86,0.0,0.0544038713491212,-0.3125,0.0208333333333333,0.0886097322766739,0.9191188694929342,0.0604329598666307,0.0767112621075025,0.006514657980456,0.0073798559452119,0.1482300884955752,1.0,-0.3262865043670899,-6.25
87,0.0,-0.3269897462419172,-6.25,0.4166666666666667,0.4545726336412938,0.483458021612635,0.0292235651768859,0.0371251136584611,0.4885993485342019,0.5534891958908962,0.0663716814159292,1.0,-0.96463122106619,-2.8125
88,0.0,-0.9649643112820664,-2.8125,0.1875,0.0,0.7733998337489609,0.6150923042977273,0.7729275392844689,0.0325732899022801,0.0368992797260597,0.3938053097345133,0.0,-0.07746103256566317,-3.125
89,0.0,-0.0770628794072083,-3.125,0.2083333333333333,0.0,0.0288029925187032,0.1360415798377013,0.1179618721212224,0.1889250814332247,0.1127149998032038,0.2146017699115044,0.0,-0.4422574079650068,-9.0625
90,0.0,-0.4422418171885283,-9.0625,0.6041666666666667,0.2418631857049343,0.6661263507896924,0.366790065949153,0.4621157120876214,0.3192182410423453,0.3616129413153855,0.2588495575221239,0.0,-0.9819569241827611,-2.1875
91,0.0,-0.9819878969397262,-2.1875,0.1458333333333333,0.0134020186132132,0.9472568578553616,0.0535438476059722,0.0167505932214985,0.0651465798045602,0.0061203605305624,0.0,0.0,-0.25307236015358037,-7.812500000000001
92,0.0,-0.2522137496309805,-7.812500000000001,0.5208333333333334,0.1129875176717022,0.1658769742310889,0.0403295006006521,0.0512119630272602,0.257328990228013,0.291504309835872,0.0176991150442477,1.0,-0.7498936223393626,-0.9375
93,0.0,-0.7496799107352361,-0.9375,0.0625,0.0986109871297951,0.7088528678304239,0.4421290053690946,0.5553413982986369,0.0325732899022801,0.0368992797260597,0.3053097345132743,0.0,0.22907389374859227,-7.812500000000001
94,0.0,0.2300403577809744,-7.812500000000001,0.5208333333333334,0.0,0.483458021612635,0.0316506901370467,0.0402036875718074,0.2442996742671009,0.2767445979454481,0.1238938053097345,1.0,-0.6184215850309185,-0.625
95,0.0,-0.6182163577845998,-0.625,0.0416666666666666,0.4825406087405906,0.8776392352452203,0.0121846576282821,0.0155129443149209,0.01628664495114,0.0184496398630298,0.0442477876106194,1.0,0.3440207380948307,-12.1875
96,0.0,0.3368601841294854,-12.1875,0.8125,0.2072962046910031,0.9191188694929342,0.0583000318713378,0.0740058486685012,0.3061889250814332,0.3468532294249616,0.0707964601769911,1.0,-0.9568451002026569,-2.8125
97,0.0,-0.9573691919191556,-2.8125,0.1875,0.1686893057358899,0.0711554447215295,0.1211846331118684,0.1070598230141332,0.2801302931596091,0.217597512496556,0.0044247787610619,0.0,-0.7953000981200324,-3.125
98,0.0,-0.7953237467415668,-3.125,0.2083333333333333,0.1939977499844279,0.6966749792186201,0.4065066562063301,0.5105781458153577,0.1042345276872964,0.1180776951233911,0.2699115044247787,0.0,-0.9376588427334482,-2.5
99,0.0,-0.9377617293414484,-2.5,0.1666666666666666,0.1586198634475365,0.9908977556109726,0.1832111598715339,0.2320070519037196,0.1270358306188925,0.143907190931633,0.3650442477876106,1.0,0.21256386792986448,-5.3125
100,0.0,0.2129616038574779,-5.3125,0.3541666666666667,0.2044969475046969,0.483458021612635,0.0319939199293927,0.0406390414585433,0.0553745928338762,0.0627287755343015,0.1349557522123893,1.0,-0.7145087607979772,-5.0
101,0.0,-0.7153402170363645,-5.0,0.3333333333333333,0.2666585408172858,0.8738570241064005,0.0549657996028341,0.0697766966259244,0.3127035830618893,0.3542330853701735,0.0066371681415929,0.0,-1.0,-0.0
102,0.0,-0.9997992195002005,-1.5625,0.1041666666666666,0.0020440950195592,0.6203657522859518,0.2183186643457794,0.2754130782795312,0.1172638436482084,0.132837407013815,0.0907079646017699,0.0,0.6070266277842161,-12.5
103,0.0,0.5891002312341911,-12.5,0.8333333333333334,0.0,0.9191188694929342,0.0586677780774228,0.0744722992614324,0.1726384364820847,0.1955661825481166,0.0862831858407079,1.0,-0.9994483306056132,-1.25
104,0.0,-0.9994457635996536,-1.25,0.0833333333333333,0.0011091431346902,0.2137988362427265,0.0305229351050528,0.0247845723850468,0.1009771986970684,0.0752056519856732,0.0,0.0,0.11007399313112518,-3.75
105,0.0,0.109175333252329,-3.75,0.25,0.4957833456339836,0.483458021612635,0.0320674691706097,0.0407323315771295,0.0423452768729641,0.0479690636438776,0.1349557522123893,1.0,-0.4969919626638326,-4.0625
106,0.0,-0.4976656617966039,-4.0625,0.2708333333333333,0.1511689243387623,0.5531587697423109,0.0424624285959449,0.0539173764662615,0.1498371335504886,0.1697366867398748,0.0553097345132743,0.0,-0.7801892400060713,-4.375
107,0.0,-0.7795523246944505,-4.375,0.2916666666666667,0.0544958080073522,0.944139650872818,0.1054205790776925,0.1333372031456598,0.1954397394136807,0.2213956783563584,0.3561946902654867,1.0,-0.2770305836747947,-9.6875
108,0.0,-0.2766611806876026,-9.6875,0.6458333333333334,0.0545367845141164,0.9191188694929342,0.0567309813920419,0.0720156594719945,0.5570032573289903,0.6309776833156217,0.0331858407079646,1.0,-0.8495292507228804,-2.5
109,0.0,-0.8497404626591639,-2.5,0.1666666666666666,0.0630320665946871,0.9908977556109726,0.1845840790409179,0.233748467450663,0.0977198697068403,0.1106978391781792,0.3650442477876106,1.0,-0.9128949386004315,-2.5
110,0.0,-0.91226163096194,-2.5,0.1666666666666666,0.155532058625614,0.5715295095594347,0.1004927799161538,0.1260223456784492,0.1302931596091205,0.147597118904239,0.077433628318584,0.0,0.3157151253792377,-5.3125
